JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer_Code,Comment_Code(s),Comp_Star_1,Comp_Star_2,Charts,Comments,Transfomed,Airmass,Validation_Flag,Cmag,Kmag,HJD,Star_Name,Observer_Affiliation,Measurement_Method,Grouping_Method,ADS_Reference,Digitizer,Credit
2459371.417,17.490,0.141,,CV,PYG,,148,,AAVSO X27938KS,SLOOH,0,,Z,14.8,,,TCP J14225968+4122545,BAA-VSS,STD,,,,
2459709.31150,13.039,0.0032,,CV,ZJIA,,ensemble,,X27941SA,Data from Xingming Observatory.,0,,Z,,,,TCP J14225968+4122545,,STD,,,,
2459709.32491,13.344,0.0044,,CV,ZJIA,,ensemble,,X27941SA,Data from Xingming Observatory.,0,,Z,,,,TCP J14225968+4122545,,STD,,,,
2459710.21024,13.274,0.0024,,SR,ZJIA,,ensemble,,X27941SA,Data from Xingming Observatory.,0,,Z,,,,TCP J14225968+4122545,,STD,,,,
2459710.21206,13.750,0.0037,,SI,ZJIA,,ensemble,,X27941SA,Data from Xingming Observatory.,0,,Z,,,,TCP J14225968+4122545,,STD,,,,
2459710.30089,13.019,0.002,,SG,ZJIA,,ensemble,,X27941SA,Data from Xingming Observatory.,0,,Z,,,,TCP J14225968+4122545,,STD,,,,
2459710.30262,13.381,0.0025,,SR,ZJIA,,ensemble,,X27941SA,Data from Xingming Observatory.,0,,Z,,,,TCP J14225968+4122545,,STD,,,,
2459710.30428,13.549,0.0038,,SI,ZJIA,,ensemble,,X27941SA,Data from Xingming Observatory.,0,,Z,,,,TCP J14225968+4122545,,STD,,,,
2459710.30962,13.393,0.0023,,B,ZJIA,,ensemble,,X27941SA,Data from Xingming Observatory.,0,,Z,,,,TCP J14225968+4122545,,STD,,,,
2459710.31131,13.389,0.0024,,V,ZJIA,,ensemble,,X27941SA,Data from Xingming Observatory.,0,,Z,,,,TCP J14225968+4122545,,STD,,,,
2459710.31301,12.863,0.0018,,SG,ZJIA,,ensemble,,X27941SA,Data from Xingming Observatory.,0,,Z,,,,TCP J14225968+4122545,,STD,,,,
2459710.31471,13.285,0.0024,,SR,ZJIA,,ensemble,,X27941SA,Data from Xingming Observatory.,0,,Z,,,,TCP J14225968+4122545,,STD,,,,
2459710.31637,13.563,0.0039,,SI,ZJIA,,ensemble,,X27941SA,Data from Xingming Observatory.,0,,Z,,,,TCP J14225968+4122545,,STD,,,,
2459710.32513,13.590,0.009,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.086,Z,,14.952,,XM116HT,MCSE,STD,,,,
2459710.32589,13.549,0.009,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.085,Z,,14.884,,XM116HT,MCSE,STD,,,,
2459710.32665,13.567,0.006,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.083,Z,,14.974,,XM116HT,MCSE,STD,,,,
2459710.32741,13.596,0.010,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.082,Z,,14.957,,XM116HT,MCSE,STD,,,,
2459710.32816,13.641,0.008,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.080,Z,,14.963,,XM116HT,MCSE,STD,,,,
2459710.32892,13.640,0.007,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.079,Z,,15.011,,XM116HT,MCSE,STD,,,,
2459710.32968,13.557,0.007,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.077,Z,,14.956,,XM116HT,MCSE,STD,,,,
2459710.33044,13.564,0.008,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.076,Z,,14.946,,XM116HT,MCSE,STD,,,,
2459710.33120,13.604,0.009,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.075,Z,,14.976,,XM116HT,MCSE,STD,,,,
2459710.33196,13.620,0.010,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.073,Z,,14.976,,XM116HT,MCSE,STD,,,,
2459710.33272,13.570,0.007,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.072,Z,,14.974,,XM116HT,MCSE,STD,,,,
2459710.33347,13.581,0.008,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.071,Z,,14.916,,XM116HT,MCSE,STD,,,,
2459710.33423,13.596,0.008,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.069,Z,,14.894,,XM116HT,MCSE,STD,,,,
2459710.33499,13.620,0.007,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.068,Z,,14.978,,XM116HT,MCSE,STD,,,,
2459710.33575,13.606,0.009,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.067,Z,,14.961,,XM116HT,MCSE,STD,,,,
2459710.33651,13.574,0.007,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.065,Z,,14.947,,XM116HT,MCSE,STD,,,,
2459710.33727,13.556,0.010,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.064,Z,,14.993,,XM116HT,MCSE,STD,,,,
2459710.33803,13.559,0.008,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.063,Z,,14.978,,XM116HT,MCSE,STD,,,,
2459710.33878,13.488,0.007,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.062,Z,,14.941,,XM116HT,MCSE,STD,,,,
2459710.33954,13.539,0.008,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.060,Z,,15.015,,XM116HT,MCSE,STD,,,,
2459710.34030,13.504,0.008,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.059,Z,,14.971,,XM116HT,MCSE,STD,,,,
2459710.34106,13.509,0.007,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.058,Z,,14.930,,XM116HT,MCSE,STD,,,,
2459710.34182,13.519,0.006,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.057,Z,,15.051,,XM116HT,MCSE,STD,,,,
2459710.34258,13.521,0.007,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.056,Z,,14.940,,XM116HT,MCSE,STD,,,,
2459710.34334,13.494,0.006,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.055,Z,,14.912,,XM116HT,MCSE,STD,,,,
2459710.34409,13.528,0.007,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.053,Z,,14.895,,XM116HT,MCSE,STD,,,,
2459710.34485,13.533,0.009,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.052,Z,,14.967,,XM116HT,MCSE,STD,,,,
2459710.34561,13.521,0.008,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.051,Z,,14.939,,XM116HT,MCSE,STD,,,,
2459710.34637,13.496,0.007,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.050,Z,,14.958,,XM116HT,MCSE,STD,,,,
