,Label,J.D.-2400000,rel_flux_T1,rel_flux_err_T1,rel_flux_C2,rel_flux_err_C2,rel_flux_C3,rel_flux_err_C3
1,AT2022jrp_B_001_out.fits,59713.253918 ,0.070706 ,0.000646 ,0.665224 ,0.001821 ,1.503252 ,0.004116 
2,AT2022jrp_B_002_out.fits,59713.258219 ,0.072108 ,0.000625 ,0.660796 ,0.001780 ,1.513327 ,0.004076 
3,AT2022jrp_B_003_out.fits,59713.262520 ,0.073805 ,0.000655 ,0.661052 ,0.001847 ,1.512741 ,0.004228 
4,AT2022jrp_B_004_out.fits,59713.266822 ,0.076658 ,0.000683 ,0.666679 ,0.001907 ,1.499972 ,0.004290 
5,AT2022jrp_B_005_out.fits,59713.271123 ,0.075094 ,0.000708 ,0.657024 ,0.001951 ,1.522015 ,0.004521 
6,AT2022jrp_B_006_out.fits,59713.275425 ,0.073730 ,0.000692 ,0.655731 ,0.001907 ,1.525016 ,0.004435 
7,AT2022jrp_B_007_out.fits,59713.279726 ,0.070823 ,0.000691 ,0.662281 ,0.001940 ,1.509934 ,0.004422 
8,AT2022jrp_B_008_out.fits,59713.284027 ,0.069678 ,0.000676 ,0.665815 ,0.001937 ,1.501919 ,0.004370 
9,AT2022jrp_B_009_out.fits,59713.288329 ,0.071190 ,0.000674 ,0.656679 ,0.001915 ,1.522813 ,0.004442 
10,AT2022jrp_B_010_out.fits,59713.292630 ,0.068987 ,0.000634 ,0.662147 ,0.001863 ,1.510238 ,0.004249 
11,AT2022jrp_B_011_out.fits,59713.296932 ,0.070178 ,0.000627 ,0.661508 ,0.001869 ,1.511699 ,0.004271 
12,AT2022jrp_B_012_out.fits,59713.301233 ,0.071033 ,0.000608 ,0.667172 ,0.001852 ,1.498864 ,0.004160 
13,AT2022jrp_B_013_out.fits,59713.305535 ,0.070273 ,0.000594 ,0.658333 ,0.001837 ,1.518989 ,0.004238 
14,AT2022jrp_B_014_out.fits,59713.309836 ,0.071885 ,0.000598 ,0.660488 ,0.001818 ,1.514032 ,0.004167 
15,AT2022jrp_B_015_out.fits,59713.314138 ,0.071805 ,0.000580 ,0.658970 ,0.001810 ,1.517521 ,0.004168 
16,AT2022jrp_B_016_out.fits,59713.318439 ,0.074910 ,0.000600 ,0.664126 ,0.001824 ,1.505739 ,0.004135 
17,AT2022jrp_B_017_out.fits,59713.322741 ,0.076799 ,0.000699 ,0.661472 ,0.001946 ,1.511779 ,0.004449 
