	Label	J.D.-2400000	rel_flux_T1	rel_flux_err_T1	rel_flux_C4	rel_flux_err_C4	rel_flux_C5	rel_flux_err_C5
1	AT2022jrp_V_001_out.fits	59713.256068	0.044391	0.000447	0.630191	0.001459	1.192210	0.002863
2	AT2022jrp_V_002_out.fits	59713.260370	0.042964	0.000438	0.624182	0.001424	1.200330	0.002842
3	AT2022jrp_V_003_out.fits	59713.264671	0.046142	0.000463	0.626410	0.001483	1.198098	0.002945
4	AT2022jrp_V_004_out.fits	59713.268973	0.044776	0.000488	0.617459	0.001530	1.219283	0.003153
5	AT2022jrp_V_005_out.fits	59713.273274	0.045794	0.000499	0.628657	0.001578	1.193847	0.003120
6	AT2022jrp_V_006_out.fits	59713.277576	0.045875	0.000491	0.628268	0.001545	1.191818	0.003044
7	AT2022jrp_V_007_out.fits	59713.281877	0.042637	0.000490	0.626032	0.001557	1.198640	0.003099
8	AT2022jrp_V_008_out.fits	59713.286178	0.042997	0.000485	0.621278	0.001532	1.209216	0.003098
9	AT2022jrp_V_009_out.fits	59713.290480	0.043436	0.000468	0.622641	0.001512	1.199902	0.003017
10	AT2022jrp_V_010_out.fits	59713.294781	0.041755	0.000457	0.623570	0.001492	1.201054	0.002968
11	AT2022jrp_V_011_out.fits	59713.299083	0.042721	0.000437	0.626395	0.001466	1.198194	0.002889
12	AT2022jrp_V_012_out.fits	59713.303384	0.044118	0.000439	0.627346	0.001492	1.199236	0.002937
13	AT2022jrp_V_013_out.fits	59713.307686	0.043268	0.000390	0.626257	0.001399	1.196761	0.002730
14	AT2022jrp_V_014_out.fits	59713.311987	0.043890	0.000399	0.616613	0.001410	1.214230	0.002836
15	AT2022jrp_V_015_out.fits	59713.316289	0.044547	0.000379	0.623991	0.001370	1.203704	0.002691
16	AT2022jrp_V_016_out.fits	59713.320590	0.046171	0.000377	0.621795	0.001341	1.206570	0.002656
